,Al_Franken,Amy_Klobuchar,Angus_King,Ben_Cardin,Ben_Sasse,Bernie_Sanders,Bill_Cassidy,Bill_Nelson,Bob_Casey_Jr.,Bob_Corker,Bob_Menendez,Brian_Schatz,Catherine_Cortez_Masto,Chris_Coons,Chris_Murphy_(Connecticut_politician),Chris_Van_Hollen,Chuck_Grassley,Chuck_Schumer,Claire_McCaskill,Cory_Booker,Cory_Gardner,Dan_Sullivan_(U.S._Senator),David_Perdue,Dean_Heller,Deb_Fischer,Debbie_Stabenow,Dianne_Feinstein,Dick_Durbin,Ed_Markey,Elizabeth_Warren,Gary_Peters_(politician),Heidi_Heitkamp,Jack_Reed_(politician),James_Lankford,Jeanne_Shaheen,Jeff_Flake,Jeff_Merkley,Jerry_Moran,Jim_Inhofe,Jim_Risch,Joe_Donnelly,Joe_Manchin,John_Barrasso,John_Boozman,John_Cornyn,John_Hoeven,John_McCain,John_N._Kennedy,John_Thune,Johnny_Isakson,Jon_Tester,Joni_Ernst,Kamala_Harris,Kirsten_Gillibrand,Lamar_Alexander,Lindsey_Graham,Lisa_Murkowski,Luther_Strange,Maggie_Hassan,Marco_Rubio,Maria_Cantwell,Mark_Warner,Martin_Heinrich,Mazie_Hirono,Michael_Bennet,Mike_Crapo,Mike_Enzi,Mike_Lee_(U.S._politician)	,Mike_Rounds,Mitch_McConnell,Orrin_Hatch,Pat_Roberts,Pat_Toomey,Patrick_Leahy,Patty_Murray,Rand_Paul,Richard_Blumenthal,Richard_Burr,Richard_Shelby,Rob_Portman,Roger_Wicker,Ron_Johnson_(U.S._politician),Ron_Wyden,Roy_Blunt,Sheldon_Whitehouse,Shelley_Moore_Capito,Sherrod_Brown,Steve_Daines,Susan_Collins,Tammy_Baldwin,Tammy_Duckworth,Ted_Cruz,Thad_Cochran,Thom_Tillis,Tim_Kaine,Tim_Scott,Todd_Young,Tom_Carper,Tom_Cotton,Tom_Udall
2016-01,40768.0,10282.0,13743.0,5774.0,19451.0,1727456.0,4499.0,13754.0,88.0,7418.0,9294.0,6740.0,3085.0,4903.0,9094.0,6679.0,16709.0,55327.0,13960.0,44700.0,7375.0,775.0,4437.0,3915.0,4628.0,9669.0,36146.0,15779.0,9279.0,136363.0,5848.0,4960.0,6339.0,6162.0,9314.0,6737.0,4398.0,4184.0,10411.0,3689.0,5375.0,7413.0,3822.0,4457.0,16096.0,3334.0,252746.0,65.0,9404.0,6432.0,4918.0,16801.0,20167.0,26493.0,9763.0,46042.0,12308.0,818.0,13041.0,514100.0,6987.0,11080.0,5385.0,8501.0,9422.0,3606.0,3856.0,,3095.0,33299.0,36571.0,4354.0,10297.0,38866.0,8895.0,223155.0,12316.0,9792.0,18582.0,11332.0,4120.0,7190.0,8857.0,7675.0,5636.0,5380.0,10126.0,4671.0,12363.0,11753.0,15202.0,1352479.0,6480.0,6148.0,16630.0,13176.0,2525.0,3835.0,24117.0,6253.0
2016-02,42661.0,40245.0,19517.0,7716.0,28501.0,3588261.0,5482.0,20045.0,101.0,10224.0,14837.0,9112.0,6246.0,6962.0,9352.0,9569.0,25669.0,55546.0,19363.0,120228.0,10171.0,5288.0,7789.0,9943.0,6748.0,9176.0,39386.0,21995.0,13316.0,251797.0,6324.0,7178.0,6310.0,5666.0,20238.0,11815.0,4471.0,4741.0,11239.0,4391.0,7167.0,9303.0,4568.0,5861.0,26413.0,4309.0,287721.0,73.0,8067.0,9886.0,6076.0,15662.0,87830.0,31028.0,14223.0,80023.0,12601.0,885.0,25892.0,1863136.0,8574.0,16435.0,6427.0,12117.0,12573.0,4249.0,4335.0,,3830.0,94428.0,59270.0,6785.0,20203.0,57757.0,11509.0,171396.0,16201.0,12036.0,21191.0,15656.0,5037.0,9221.0,9988.0,9923.0,9116.0,7370.0,15929.0,4648.0,17014.0,15242.0,29774.0,2272427.0,8357.0,9979.0,21087.0,48370.0,4778.0,4505.0,19042.0,6822.0
2016-03,69646.0,22588.0,18929.0,7535.0,46198.0,2026130.0,5963.0,20002.0,110.0,10139.0,15879.0,11376.0,6426.0,6676.0,10502.0,15807.0,27369.0,43496.0,12915.0,148369.0,10075.0,5720.0,9501.0,5059.0,6914.0,10689.0,39737.0,24089.0,14721.0,263435.0,7853.0,6355.0,6286.0,6339.0,11949.0,15783.0,5493.0,6512.0,17171.0,5008.0,8019.0,10329.0,5706.0,5437.0,28753.0,4599.0,239321.0,63.0,8916.0,10100.0,7416.0,11903.0,33522.0,31428.0,12546.0,95282.0,11930.0,1166.0,14844.0,1060374.0,10629.0,17592.0,6604.0,13466.0,14214.0,5037.0,4531.0,,4416.0,107192.0,60510.0,7594.0,18431.0,74701.0,13627.0,96366.0,14623.0,16464.0,16288.0,22641.0,5745.0,11941.0,9512.0,10904.0,7977.0,7592.0,38094.0,4953.0,19880.0,16726.0,73608.0,1696087.0,9415.0,9583.0,24815.0,14893.0,5325.0,4740.0,25662.0,7833.0
2016-04,43087.0,19740.0,13951.0,7733.0,9943.0,1337991.0,5047.0,12413.0,95.0,8403.0,12450.0,7667.0,4653.0,5790.0,10072.0,33189.0,16840.0,50333.0,13323.0,67708.0,8527.0,4499.0,4877.0,4185.0,4760.0,9515.0,46832.0,17401.0,12180.0,160696.0,6128.0,5860.0,6106.0,4928.0,10742.0,7907.0,24060.0,4945.0,10259.0,4933.0,7427.0,8778.0,5029.0,4419.0,18072.0,4365.0,161044.0,55.0,8556.0,7048.0,7912.0,13594.0,36393.0,32458.0,10374.0,36592.0,10964.0,1244.0,11950.0,106018.0,8377.0,19597.0,5495.0,9120.0,11374.0,4005.0,4605.0,,3677.0,38192.0,36014.0,5788.0,22137.0,41565.0,10823.0,54324.0,11446.0,11853.0,9713.0,12295.0,4681.0,10852.0,12469.0,8763.0,6987.0,6404.0,26198.0,4474.0,19470.0,16352.0,19009.0,846753.0,6925.0,6260.0,30793.0,10561.0,11301.0,5523.0,16602.0,8272.0
2016-05,66366.0,16663.0,13341.0,5532.0,78686.0,787078.0,4644.0,11750.0,2146.0,53781.0,9764.0,7618.0,5662.0,5366.0,8809.0,7070.0,12336.0,41958.0,12262.0,56338.0,8882.0,5184.0,6035.0,4923.0,8774.0,7787.0,49830.0,15788.0,12730.0,393792.0,5354.0,6001.0,5233.0,5738.0,9637.0,12124.0,9110.0,3832.0,8639.0,3206.0,7278.0,10741.0,5425.0,4828.0,15533.0,3943.0,201562.0,73.0,12707.0,9919.0,6695.0,51981.0,89298.0,23929.0,10334.0,47487.0,9956.0,1162.0,14367.0,90417.0,7727.0,16585.0,5995.0,8232.0,11629.0,4022.0,3621.0,,3269.0,50503.0,34702.0,6388.0,16411.0,24067.0,10033.0,57217.0,9690.0,9321.0,10684.0,26831.0,4247.0,10516.0,17257.0,8916.0,5269.0,11043.0,39916.0,4160.0,14069.0,12253.0,23157.0,444842.0,6525.0,5864.0,79052.0,20322.0,9511.0,4690.0,34675.0,12893.0
2016-06,53539.0,19394.0,16458.0,7198.0,22201.0,582409.0,4628.0,30518.0,5226.0,21864.0,10698.0,8118.0,6100.0,5608.0,70667.0,6293.0,12515.0,38223.0,13838.0,82596.0,9121.0,6053.0,17800.0,4860.0,5167.0,8343.0,58677.0,16254.0,17312.0,747303.0,5319.0,10033.0,5685.0,5308.0,11321.0,13629.0,8980.0,3713.0,7206.0,3489.0,7829.0,12826.0,4987.0,3818.0,15879.0,4125.0,159027.0,74.0,9094.0,7654.0,7333.0,19169.0,134524.0,26598.0,9817.0,30946.0,9568.0,1211.0,14107.0,66233.0,8107.0,19083.0,6471.0,9748.0,14955.0,3860.0,3342.0,,3520.0,67778.0,40021.0,4369.0,18549.0,21703.0,10047.0,36366.0,13844.0,11152.0,10047.0,17471.0,4007.0,13836.0,9710.0,10043.0,5581.0,7171.0,52477.0,4636.0,25979.0,20845.0,35883.0,91228.0,6287.0,6225.0,150355.0,14019.0,3270.0,5065.0,32148.0,10933.0
2016-07,143641.0,36931.0,16043.0,6656.0,21502.0,684501.0,6895.0,13005.0,8934.0,41705.0,14474.0,10018.0,5157.0,6261.0,18559.0,6038.0,13057.0,41986.0,15493.0,474963.0,8518.0,6823.0,7338.0,4227.0,5034.0,9869.0,38711.0,16113.0,12468.0,495556.0,5178.0,6376.0,5501.0,6103.0,14827.0,28037.0,11242.0,4834.0,10666.0,3632.0,9226.0,8688.0,6502.0,5003.0,17111.0,3619.0,182553.0,75.0,8407.0,7048.0,6206.0,212381.0,52644.0,51287.0,9839.0,23548.0,9863.0,981.0,14435.0,59806.0,8635.0,83729.0,6276.0,11669.0,11137.0,4402.0,3815.0,,3284.0,45679.0,33231.0,5312.0,13838.0,24913.0,11582.0,46214.0,9391.0,10199.0,9941.0,18349.0,4648.0,11956.0,8367.0,9599.0,5102.0,15134.0,55458.0,4990.0,13463.0,16828.0,52752.0,205691.0,6629.0,6866.0,2744532.0,35926.0,8723.0,4994.0,103099.0,9458.0
2016-08,37679.0,10618.0,15773.0,6384.0,11996.0,203070.0,5019.0,9760.0,3764.0,7142.0,7329.0,8960.0,9705.0,5297.0,11094.0,5135.0,12854.0,41053.0,11687.0,49403.0,7080.0,4163.0,6113.0,4158.0,3941.0,6856.0,27974.0,12905.0,8405.0,66370.0,4331.0,5256.0,4460.0,4498.0,9984.0,15602.0,3838.0,5686.0,6472.0,2862.0,5468.0,76862.0,3745.0,3541.0,10623.0,3483.0,244348.0,90.0,5530.0,8323.0,5177.0,13892.0,22678.0,20304.0,8013.0,20345.0,13459.0,876.0,30869.0,52572.0,5995.0,13192.0,4002.0,7697.0,11083.0,3281.0,3753.0,,2637.0,33329.0,26375.0,4182.0,19791.0,19088.0,7980.0,37576.0,10581.0,11438.0,7378.0,18865.0,4023.0,13128.0,7488.0,12766.0,4136.0,6157.0,9136.0,3777.0,46631.0,10100.0,36742.0,75141.0,5857.0,5710.0,235329.0,10672.0,10765.0,4386.0,21891.0,6058.0
2016-09,37181.0,9495.0,10410.0,4803.0,10977.0,221556.0,3856.0,9691.0,3562.0,8985.0,14987.0,5709.0,8988.0,4719.0,8618.0,5615.0,13561.0,43978.0,11318.0,43816.0,5864.0,3819.0,7637.0,4416.0,3544.0,6373.0,27391.0,12683.0,7655.0,165671.0,3738.0,5981.0,5080.0,4086.0,7774.0,16749.0,4626.0,4297.0,8126.0,2729.0,5356.0,24721.0,3782.0,4623.0,12636.0,3399.0,179768.0,92.0,5370.0,8211.0,6823.0,7930.0,27028.0,20527.0,8049.0,22787.0,7704.0,820.0,18865.0,49478.0,5475.0,15158.0,3637.0,6165.0,8870.0,3739.0,2875.0,,2572.0,32162.0,39495.0,3750.0,21986.0,17050.0,6326.0,34082.0,9227.0,16128.0,9134.0,18325.0,3747.0,10111.0,8737.0,22089.0,4785.0,4462.0,9912.0,3272.0,12059.0,8659.0,28422.0,94849.0,5304.0,5924.0,268018.0,16590.0,9718.0,3789.0,10745.0,5461.0
2016-10,82315.0,18993.0,16748.0,7113.0,34812.0,339914.0,5382.0,14424.0,6490.0,9845.0,13426.0,10214.0,25456.0,6582.0,11126.0,13957.0,22150.0,82801.0,19835.0,59325.0,10992.0,6590.0,8225.0,6031.0,9334.0,9090.0,42054.0,23229.0,12259.0,175807.0,5739.0,7867.0,6386.0,7473.0,15357.0,16931.0,6328.0,7205.0,10221.0,4153.0,8233.0,12423.0,4896.0,7815.0,18796.0,5509.0,249645.0,110.0,13439.0,20313.0,7469.0,13315.0,152838.0,37004.0,10923.0,31946.0,14851.0,935.0,69912.0,94614.0,9290.0,22381.0,5856.0,10773.0,23561.0,11564.0,5564.0,,3573.0,57624.0,51081.0,5165.0,59411.0,28335.0,18945.0,59378.0,17546.0,37227.0,13953.0,34024.0,4967.0,21428.0,17037.0,39376.0,5185.0,7677.0,14841.0,4407.0,17022.0,15541.0,150326.0,114750.0,7615.0,8644.0,688354.0,25326.0,17678.0,5115.0,33349.0,6507.0
2016-11,80817.0,42627.0,33590.0,16648.0,28154.0,843572.0,8444.0,22321.0,11752.0,85585.0,21842.0,16301.0,66824.0,10086.0,22050.0,31520.0,25242.0,214398.0,25482.0,184539.0,15399.0,7984.0,12544.0,13264.0,8876.0,20123.0,77245.0,38906.0,20947.0,439831.0,10555.0,17712.0,7565.0,16427.0,23253.0,22469.0,13155.0,10529.0,19130.0,5463.0,14745.0,34788.0,9029.0,9084.0,27201.0,8774.0,367926.0,4885.0,12099.0,22858.0,14988.0,19270.0,577075.0,85575.0,18644.0,51210.0,21439.0,2506.0,138952.0,163754.0,14298.0,26964.0,10933.0,26601.0,29214.0,9521.0,6655.0,,4632.0,249195.0,83404.0,7422.0,54939.0,49498.0,26068.0,102940.0,23600.0,43640.0,30142.0,35376.0,8155.0,30485.0,20391.0,37793.0,8910.0,12138.0,54143.0,6940.0,27856.0,31298.0,270911.0,226993.0,11487.0,11946.0,409893.0,40454.0,36432.0,8581.0,63648.0,9764.0
2016-12,42004.0,21692.0,15990.0,11177.0,12596.0,201169.0,7755.0,17069.0,7146.0,30836.0,12516.0,9636.0,14548.0,9977.0,19425.0,12710.0,12179.0,86133.0,15197.0,63924.0,9407.0,6051.0,7121.0,7845.0,6118.0,10483.0,45227.0,19627.0,11899.0,116614.0,7038.0,42474.0,9719.0,7359.0,10058.0,11227.0,7916.0,4350.0,11156.0,4651.0,9087.0,36134.0,6340.0,4719.0,15761.0,7228.0,192397.0,4752.0,8381.0,7133.0,10293.0,12612.0,93674.0,39792.0,13230.0,53067.0,10479.0,2330.0,22512.0,44991.0,12868.0,15453.0,7476.0,12231.0,9211.0,4898.0,4538.0,,3904.0,129770.0,47232.0,5478.0,13659.0,23066.0,10088.0,45465.0,12593.0,12122.0,10197.0,18623.0,5135.0,10261.0,11324.0,11232.0,6480.0,8892.0,24220.0,7737.0,20462.0,14953.0,46245.0,79098.0,7791.0,7954.0,55123.0,19688.0,9034.0,6912.0,18843.0,7538.0
2017-01,256796.0,51157.0,41267.0,32940.0,36147.0,351319.0,23051.0,34817.0,24057.0,39413.0,45059.0,17353.0,36670.0,21029.0,48644.0,26602.0,34183.0,370131.0,39185.0,319188.0,27866.0,11422.0,21299.0,17726.0,13704.0,28408.0,113225.0,53962.0,28112.0,374037.0,13124.0,19410.0,18270.0,16813.0,30980.0,26296.0,21649.0,7764.0,18309.0,13042.0,20478.0,38719.0,15566.0,7825.0,38307.0,8892.0,338850.0,166.0,15777.0,23197.0,15905.0,22358.0,297840.0,116441.0,49017.0,129713.0,23353.0,3576.0,73728.0,95002.0,24785.0,39877.0,17799.0,30556.0,25410.0,13760.0,15143.0,,6892.0,217129.0,125412.0,17711.0,27724.0,63113.0,44252.0,96815.0,37853.0,26258.0,25869.0,26336.0,10778.0,17232.0,37939.0,58081.0,24106.0,13323.0,38565.0,9565.0,65033.0,36179.0,91490.0,140028.0,14026.0,20513.0,101278.0,43192.0,29825.0,15226.0,81149.0,13926.0
2017-02,230653.0,34165.0,54098.0,16207.0,61536.0,269732.0,14053.0,22426.0,18729.0,23407.0,18028.0,13877.0,20666.0,15238.0,39223.0,15493.0,27774.0,189804.0,26339.0,91407.0,36411.0,10843.0,17087.0,19205.0,22779.0,20501.0,77920.0,34008.0,21504.0,549225.0,10594.0,29635.0,9494.0,16099.0,18831.0,24946.0,23227.0,7580.0,13115.0,8289.0,18105.0,91144.0,12745.0,8163.0,37780.0,7785.0,321926.0,132.0,14839.0,14791.0,18652.0,22018.0,143218.0,92268.0,37276.0,66732.0,44643.0,73300.0,41339.0,66811.0,16134.0,40729.0,12968.0,17788.0,17477.0,8838.0,7281.0,,6142.0,234062.0,98478.0,8527.0,45098.0,40142.0,24015.0,66991.0,183596.0,23135.0,19805.0,25255.0,7560.0,13472.0,20683.0,24370.0,19020.0,16894.0,27271.0,17711.0,67405.0,31509.0,49641.0,134720.0,12253.0,21104.0,67453.0,50176.0,17880.0,9520.0,84005.0,15953.0
2017-03,326376.0,58639.0,33876.0,13383.0,55884.0,211621.0,11735.0,20312.0,13779.0,13569.0,21164.0,11390.0,17114.0,21360.0,20812.0,13827.0,41129.0,219826.0,34035.0,153479.0,16708.0,7703.0,13216.0,10796.0,8842.0,15413.0,111272.0,44014.0,14743.0,122169.0,8656.0,16627.0,9498.0,23375.0,13593.0,22508.0,12160.0,5614.0,16199.0,6284.0,12868.0,39363.0,9384.0,6868.0,34547.0,5807.0,220912.0,133.0,9486.0,12912.0,11531.0,16228.0,108475.0,61689.0,14499.0,147866.0,21989.0,26776.0,17207.0,53462.0,12803.0,84133.0,11360.0,26367.0,14169.0,10024.0,5516.0,,4500.0,110162.0,82215.0,10863.0,17956.0,60402.0,15238.0,107006.0,31392.0,50135.0,13924.0,15069.0,6363.0,10821.0,16142.0,14845.0,59639.0,13828.0,18385.0,9279.0,48887.0,20068.0,40144.0,89298.0,10337.0,15304.0,60973.0,17692.0,13373.0,7755.0,70428.0,10822.0
2017-04,73497.0,17641.0,22243.0,11665.0,19489.0,171609.0,6582.0,13517.0,10414.0,13774.0,12391.0,16595.0,12813.0,13984.0,15943.0,11646.0,16487.0,100479.0,19343.0,64489.0,12341.0,6391.0,15328.0,9302.0,6695.0,10582.0,55910.0,21486.0,14314.0,231994.0,6872.0,16972.0,8012.0,15463.0,11779.0,26156.0,22040.0,5234.0,9985.0,5400.0,19536.0,20645.0,7269.0,5044.0,20820.0,5324.0,181925.0,120.0,8663.0,16684.0,12656.0,16282.0,81128.0,43003.0,11473.0,52847.0,11479.0,21509.0,13575.0,40631.0,9805.0,26468.0,6882.0,17530.0,15102.0,5955.0,6520.0,,3836.0,108706.0,58825.0,6412.0,10943.0,26544.0,11986.0,66848.0,17374.0,12588.0,10533.0,10502.0,5850.0,8309.0,12056.0,10050.0,11441.0,7805.0,15256.0,7688.0,25962.0,15622.0,36168.0,66765.0,7966.0,8705.0,38740.0,11540.0,9137.0,6578.0,24826.0,8716.0
2017-05,185669.0,63694.0,49191.0,11787.0,178058.0,167732.0,45911.0,10898.0,14556.0,27018.0,11241.0,13535.0,13729.0,15482.0,24013.0,12449.0,34051.0,156976.0,17175.0,75676.0,12613.0,6203.0,12039.0,9526.0,9484.0,12289.0,99352.0,40129.0,13620.0,173100.0,7559.0,10575.0,8823.0,19060.0,9810.0,19391.0,10569.0,4280.0,9814.0,14150.0,10155.0,29076.0,8444.0,4927.0,67984.0,4752.0,210734.0,148.0,9597.0,9028.0,16992.0,10991.0,158641.0,51801.0,14663.0,72430.0,14757.0,17143.0,13821.0,43855.0,11171.0,62304.0,12150.0,23615.0,9216.0,7298.0,6423.0,,4916.0,116667.0,166040.0,5818.0,13291.0,48263.0,11940.0,49805.0,108195.0,42929.0,12172.0,13409.0,5753.0,6193.0,26770.0,13221.0,43006.0,10680.0,17527.0,12241.0,62142.0,18560.0,39596.0,80665.0,8687.0,47117.0,46193.0,13622.0,10323.0,7025.0,22065.0,8283.0
